20/01/2025 14:21:46 pm # 2025-01-20 14:21:46 # 20250219 14:21:46 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'DIX937', '20250219 14:21:46', 'A') # TRANSP2_DIADI # 
21/01/2025 09:18:34 am # 2025-01-21 09:18:34 # 20250220 09:18:34 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'DIX945', '20250220 09:18:34', 'A') # TRANSP2_DIADI # 
21/01/2025 15:41:46 pm # 2025-01-21 15:41:46 # 20250220 15:41:46 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'QVT098', '20250220 15:41:46', 'A') # DRODRIGUE_DIADI # 
23/01/2025 14:18:46 pm # 2025-01-23 14:18:46 # 20250222 14:18:46 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'ZJN123', '20250222 14:18:46', 'A') # DRODRIGUE_DIADI # 
07/02/2025 17:05:30 pm # 2025-02-07 17:05:30 # 20250309 17:05:30 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'FDZ039', '20250309 17:05:30', 'A') # TRANSP2_DIADI # 
14/02/2025 15:14:56 pm # 2025-02-14 15:14:56 # 20250316 15:14:56 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'DIX992', '20250316 15:14:56', 'A') # TRANSP2_DIADI # 
21/02/2025 10:03:01 am # 2025-02-21 10:03:01 # 20250323 10:03:01 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'DIX945', '20250323 10:03:01', 'A') # TRANSP2_DIADI # 
27/02/2025 08:42:19 am # 2025-02-27 08:42:19 # 20250329 08:42:19 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'DIX944', '20250329 08:42:19', 'A') # TRANSP2_DIADI # 
11/03/2025 11:07:40 am # 2025-03-11 11:07:40 # 20250410 11:07:40 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'DIX940', '20250410 11:07:40', 'A') # DRODRIGUE_DIADI # 
13/03/2025 17:25:23 pm # 2025-03-13 17:25:23 # 20250412 17:25:23 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'DIX937', '20250412 17:25:23', 'A') # TRANSP2_DIADI # 
19/03/2025 18:03:09 pm # 2025-03-19 18:03:09 # 20250418 18:03:09 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'DIY802', '20250418 18:03:09', 'A') # DRODRIGUE_DIADI # 
19/03/2025 18:03:24 pm # 2025-03-19 18:03:24 # 20250418 18:03:24 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'DIY805', '20250418 18:03:24', 'A') # DRODRIGUE_DIADI # 
27/03/2025 08:58:19 am # 2025-03-27 08:58:19 # 20250426 08:58:19 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'DIX944', '20250426 08:58:19', 'A') # DRODRIGUE_DIADI # 
27/03/2025 17:59:16 pm # 2025-03-27 17:59:16 # 20250426 17:59:16 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'DIX945', '20250426 17:59:16', 'A') # TRANSP2_DIADI # 
04/04/2025 08:00:57 am # 2025-04-04 08:00:57 # 20250504 08:00:57 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'DIY871', '20250504 08:00:57', 'A') # TRANSP2_DIADI # 
16/04/2025 08:30:44 am # 2025-04-16 08:30:44 # 20250516 08:30:44 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'DIX937', '20250516 08:30:44', 'A') # TRANSP2_DIADI # 
06/05/2025 11:39:56 am # 2025-05-06 11:39:56 # 20250605 11:39:56 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'DIX940', '20250605 11:39:56', 'A') # TRANSP2_DIADI # 
07/05/2025 11:23:04 am # 2025-05-07 11:23:04 # 20250606 11:23:04 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'GAL045', '20250606 11:23:04', 'A') # TRANSP2_DIADI # 
27/05/2025 09:58:46 am # 2025-05-27 09:58:46 # 20250626 09:58:46 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'DIY868', '20250626 09:58:46', 'A') # DRODRIGUE_DIADI # 
