26/03/2024 07:34:54 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='2' OR usuario LIKE '%DIADI%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
26/03/2024 08:53:54 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
26/03/2024 09:02:29 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
26/03/2024 09:02:48 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='2' OR usuario LIKE '%DIADI%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
26/03/2024 09:07:50 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='4' OR usuario LIKE '%DIPDA%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
26/03/2024 09:09:01 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='20' OR usuario LIKE '%BAIME2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
26/03/2024 09:09:13 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='18' OR usuario LIKE '%BRIMI1%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
26/03/2024 09:16:34 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='25' OR usuario LIKE '%BIGAM%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
26/03/2024 09:19:21 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='23' OR usuario LIKE '%BAIME5%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
26/03/2024 09:21:47 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='21' OR usuario LIKE '%BAIME3%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
26/03/2024 10:33:14 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='20' OR usuario LIKE '%BAIME2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
26/03/2024 16:18:23 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='32' OR usuario LIKE '%BAIMI4%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
27/03/2024 08:27:54 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
27/03/2024 08:33:29 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='32' OR usuario LIKE '%BAIMI4%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
27/03/2024 11:21:17 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='204' OR usuario LIKE '%BAACA27%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
27/03/2024 15:41:22 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='141' OR usuario LIKE '%DIV04%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
27/03/2024 15:42:49 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='141' OR usuario LIKE '%DIV04%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
27/03/2024 15:46:04 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='141' OR usuario LIKE '%DIV04%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
27/03/2024 15:47:53 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='141' OR usuario LIKE '%DIV04%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
27/03/2024 15:58:56 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='141' OR usuario LIKE '%DIV04%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
27/03/2024 15:59:43 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='141' OR usuario LIKE '%DIV04%') AND admin>0 AND usuario NOT LIKE 'CX-%' ORDER BY unidad, admin, conse # 
